;;;S1;S1;S1;S1;S1;S1;S1;S2;S2;S2;S2;S2;S2;S2;S3;S3;S3;S3;S3;S3;S3;S4;S4;S4;S4;S4;S4;S4;S5;S5;S5;S5;S5;S5;S5;S6;S6;S6;S6;S6;S6;S6;S7;S7;S7;S7;S7;S7;S7;S8;S8;S8;S8;S8;S8;S8;S9;S9;S9;S9;S9;S9;S9;S10;S10;S10;S10;S10;S10;S10;S11;S11;S11;S11;S11;S11;S11;S12;S12;S12;S12;S12;S12;S12;S13;S13;S13;S13;S13;S13;S13;S14;S14;S14;S14;S14;S14;S14;S15;S15;S15;S15;S15;S15;S15;S16;S16;S16;S16;S16;S16;S16;S17;S17;S17;S17;S17;S17;S17;S18;S18;S18;S18;S18;S18;S18;S19;S19;S19;S19;S19;S19;S19;S20;S20;S20;S20;S20;S20;S20;S21;S21;S21;S21;S21;S21;S21;S22;S22;S22;S22;S22;S22;S22;S23;S23;S23;S23;S23;S23;S23;S24;S24;S24;S24;S24;S24;S24;S25;S25;S25;S25;S25;S25;S25;S26;S26;S26;S26;S26;S26;S26;S27;S27;S27;S27;S27;S27;S27;S28;S28;S28;S28;S28;S28;S28;S29;S29;S29;S29;S29;S29;S29;S30;S30;S30;S30;S30;S30;S30;S31;S31;S31;S31;S31;S31;S31;S32;S32;S32;S32;S32;S32;S32;S33;S33;S33;S33;S33;S33;S33;S34;S34;S34;S34;S34;S34;S34;S35;S35;S35;S35;S35;S35;S35;S36;S36;S36;S36;S36;S36;S36;S37;S37;S37;S37;S37;S37;S37;S38;S38;S38;S38;S38;S38;S38;S39;S39;S39;S39;S39;S39;S39;S40;S40;S40;S40;S40;S40;S40;S41;S41;S41;S41;S41;S41;S41;S42;S42;S42;S42;S42;S42;S42;S43;S43;S43;S43;S43;S43;S43;S44;S44;S44;S44;S44;S44;S44;S45;S45;S45;S45;S45;S45;S45;S46;S46;S46;S46;S46;S46;S46;S47;S47;S47;S47;S47;S47;S47;S48;S48;S48;S48;S48;S48;S48;S49;S49;S49;S49;S49;S49;S49;S50;S50;S50;S50;S50;S50;S50;S51;S51;S51;S51;S51;S51;S51;S52;S52;S52;S52;S52;S52;S52;;;;
;;;S11;S12;S13;S14;S15;S16;S17;S28;S29;S210;S211;S212;S213;S214;S315;S316;S317;S318;S319;S320;S321;S422;S423;S424;S425;S426;S427;S428;S529;S530;S531;S51;S52;S53;S54;S65;S66;S67;S68;S69;S610;S611;S712;S713;S714;S715;S716;S717;S718;S819;S820;S821;S822;S823;S824;S825;S926;S927;S928;S91;S92;S93;S94;S105;S106;S107;S108;S109;S1010;S1011;S1112;S1113;S1114;S1115;S1116;S1117;S1118;S1219;S1220;S1221;S1222;S1223;S1224;S1225;S1326;S1327;S1328;S1329;S1330;S1331;S131;S142;S143;S144;S145;S146;S147;S148;S159;S1510;S1511;S1512;S1513;S1514;S1515;S1616;S1617;S1618;S1619;S1620;S1621;S1622;S1723;S1724;S1725;S1726;S1727;S1728;S1729;S1830;S181;S182;S183;S184;S185;S186;S197;S198;S199;S1910;S1911;S1912;S1913;S2014;S2015;S2016;S2017;S2018;S2019;S2020;S2121;S2122;S2123;S2124;S2125;S2126;S2127;S2228;S2229;S2230;S2231;S221;S222;S223;S234;S235;S236;S237;S238;S239;S2310;S2411;S2412;S2413;S2414;S2415;S2416;S2417;S2518;S2519;S2520;S2521;S2522;S2523;S2524;S2625;S2626;S2627;S2628;S2629;S2630;S261;S272;S273;S274;S275;S276;S277;S278;S289;S2810;S2811;S2812;S2813;S2814;S2815;S2916;S2917;S2918;S2919;S2920;S2921;S2922;S3023;S3024;S3025;S3026;S3027;S3028;S3029;S3130;S3131;S311;S312;S313;S314;S315;S326;S327;S328;S329;S3210;S3211;S3212;S3313;S3314;S3315;S3316;S3317;S3318;S3319;S3420;S3421;S3422;S3423;S3424;S3425;S3426;S3527;S3528;S3529;S3530;S3531;S351;S352;S363;S364;S365;S366;S367;S368;S369;S3710;S3711;S3712;S3713;S3714;S3715;S3716;S3817;S3818;S3819;S3820;S3821;S3822;S3823;S3924;S3925;S3926;S3927;S3928;S3929;S3930;S401;S402;S403;S404;S405;S406;S407;S418;S419;S4110;S4111;S4112;S4113;S4114;S4215;S4216;S4217;S4218;S4219;S4220;S4221;S4322;S4323;S4324;S4325;S4326;S4327;S4328;S4429;S4430;S4431;S441;S442;S443;S444;S455;S456;S457;S458;S459;S4510;S4511;S4612;S4613;S4614;S4615;S4616;S4617;S4618;S4719;S4720;S4721;S4722;S4723;S4724;S4725;S4826;S4827;S4828;S4829;S4830;S481;S482;S493;S494;S495;S496;S497;S498;S499;S5010;S5011;S5012;S5013;S5014;S5015;S5016;S5117;S5118;S5119;S5120;S5121;S5122;S5123;S5224;S5225;S5226;S5227;S5228;S5229;S5230;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;JANVIER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;FEVRIER;;;;;;;;;;;;;;;;;;;;;;;;;;;;MARS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AVRIL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;MAI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUIN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;JUILLET;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;AOUT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SEPTEMBRE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;OCTOBRE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NOVEMBRE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DECEMBRE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;1;;;;;;;2;;;;;;;3;;;;;;;4;;;;;;;5;;;;;;;6;;;;;;;7;;;;;;;8;;;;;;;9;;;;;;;10;;;;;;;11;;;;;;;12;;;;;;;13;;;;;;;14;;;;;;;15;;;;;;;16;;;;;;;17;;;;;;;18;;;;;;;19;;;;;;;20;;;;;;;21;;;;;;;22;;;;;;;23;;;;;;;24;;;;;;;25;;;;;;;26;;;;;;;27;;;;;;;28;;;;;;;29;;;;;;;30;;;;;;;31;;;;;;;32;;;;;;;33;;;;;;;34;;;;;;;35;;;;;;;36;;;;;;;37;;;;;;;38;;;;;;;39;;;;;;;40;;;;;;;41;;;;;;;42;;;;;;;43;;;;;;;44;;;;;;;45;;;;;;;46;;;;;;;47;;;;;;;48;;;;;;;49;;;;;;;50;;;;;;;51;;;;;;;52;;;;;;;;;;
;;;F;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;F;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;F;Me;J;V;S;D;L;F;Me;F;V;S;D;L;M;Me;J;V;S;D;F;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;F;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;F;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;F;V;S;D;L;M;Me;J;V;S;F;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;M;Me;J;V;S;D;L;F;Me;J;V;S;D;L;;11;9
;;ETP;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;;364;251
BARJHOUX JL;BH;0.5;0;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;0;1;0;0;1;1;1;1;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;0;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;0;1;1;1;0;0;;;217;
BARTHELEMY R;RB;1;0;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;0;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;0;1;0;0;1;1;1;1;1;0;0;0;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;0;1;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;0;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;0;1;1;1;0;0;;;;
BLAYSAT A;BL;0.5;0;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;0;1;0;0;1;1;1;1;1;0;0;0;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;0;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;;;;
BON MF;MFB;1;0;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;0;1;1;1;0;0;1;0;1;0;1;0;0;1;1;1;1;1;0;0;0;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;0;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;0;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;1;0;0;1;0;1;1;1;0;0;;;;
