ID;ETP;vacPerYear;vacPerWeek;repos1;repos2;repos3
BH;0,5;185;4;;;lu.ma.me
RB;1;370;8;ve;;
BL;0,5;185;4;;;me.je.ve
MFB;1;370;8;ve;;
MC;1;370;8;lu;;
CT;1;370;8;me;;
CV;1;370;8;je;;
CR;1;370;8;lu;;
FI;0,75;278;6;;je.ve;
CH;1;370;8;je;;
HO;0,5;185;4;;;ma.me.je
LF;0,5;185;4;;;idemFP
LL;1;370;8;ma;;
YL;0,75;278;6;;je.ve;
MZ;0,5;185;4;me;;
FP;0,5;185;4;;;idemLF
PP;1;370;8;me;;
PE;0,75;278;6;;me.ve;
RY;1;370;8;ve;;
FR;1;370;8;lu;;
RF;1;370;8;me;;
BS;1;370;8;lu;;
SC;1;370;8;je;;
TR;1;370;8;ma;;
WR;1;370;8;lu;;
ND;1;370;8;me;;
PJP;1;370;8;je;;
PA;1;370;8;ve;;
ST;0,75;278;6;;me.je;
